HOLE.ID,DISTANCE,AZIMUTH,DIP
BHWS_545E_012,0,203,0
BHWS_545E_013,0,199,0
BHWS_545E_014,0,203,0
BHWS_545E_015,0,214,0
BHWS_545E_016,0,214,0
BHWS_545E_017,0,232,0
BHWS_545E_018,0,228,0
BHWS_545E_019,0,224,0
BHWS_545W_001,0,215,0
BHWS_545W_002,0,219,0
BHWS_545W_003,0,218,0
BHWS_545W_004,0,214,0
BHWS_545W_005,0,224,0
BHWS_545W_006,0,210,0
BHWS_545W_007,0,217,0
BHWS_545W_008,0,248,0
BHWS_545W_009,0,232,0
BHWS_545W_010,0,225,0
BHWS_545W_012,0,234,0
BHWS_545W_013,0,230,0
BHWS_545W_014,0,233,0
BHWS_545W_016,0,253,0
BHWS_545W_017,0,256,0
BHWS_545W_018,0,263,0
BHWS_545W_019,0,263,0
BHWS_545W_020,0,256,0
BHWS_560E_001,0,223.27,0
BHWS_560E_002,0,229.11,0
BHWS_560E_003,0,230.9,0
BHWS_560E_006,0,233.28,0
BHWS_560E_007,0,230.54,0
BHWS_560E_008,0,235.27,0
BHWS_560E_009,0,235.16,0
BHWS_560E_010,0,237.49,0
BHWS_560E_011,0,237.14,0
BHWS_560E_014,0,240.84,0
BHWS_560E_015,0,242.32,0
BHWS_560E_017,0,244.75,0
BHWS_560E_018,0,245.57,0
BHWS_560E_019,0,245.98,0
BHWS_560E_020,0,246.06,0
BHWS_560E_021,0,243.45,0
BHWS_560E_022,0,240.28,0
BHWS_560E_023,0,235.74,0
BHWS_560E_024,0,237.11,0
BHWS_560E_025,0,235.18,0
BHWS_560E_026,0,234.97,0
BHWS_560E_027,0,231.54,0
BHWS_560E_028,0,235.14,0
BHWS_560E_029,0,229.42,0
BHWS_560E_030,0,234.19,0
BHWS_560E_031,0,223.45,0
BHWS_560E_032,0,216.15,0
BHWS_560E_033,0,204.27,0
BHWS_560E_034,0,201.53,0
BHWS_560E_036,0,197.91,0
BHWS_560E_037,0,194.42,0
BHWS_560E_038,0,189.07,0
BHWS_560E_039,0,187.84,0
BHWS_560E_040,0,187.99,0
BHWS_560E_041,0,189.41,0
BHWS_560E_042,0,189.76,0
BHWS_560E_043,0,200.62,0
BHWS_560E_045,0,203.01,0
BHWS_560E_046,0,201.63,0
BHWS_560E_047,0,203.06,0
BHWS_560E_048,0,213.4,0
BHWS_560E_049,0,235.26,0
BHWS_560E_050,0,247.35,0
BHWS_560E_051,0,255.83,0
BHWS_560E_052,0,256.78,0
BHWS_560E_053,0,257.64,0
BHWS_560E_054,0,254.55,0
BHWS_560E_055,0,189.69,0
BHWS_560E_056,0,187.32,0
BHWS_560E_057,0,195.55,0
BHWS_560E_058,0,201.88,0
BHWS_560E_059,0,209.92,0
BHWS_560E_060,0,207.48,0
BHWS_560E_061,0,209.42,0
BHWS_560E_062,0,205.35,0
BHWS_560E_063,0,187.96,0
BHWS_560E_064,0,184.67,0
BHWS_560E_065,0,186.8,0
BHWS_560E_066,0,189.86,0
BHWS_560E_067,0,189.05,0
BHWS_560E_068,0,193.53,0
BHWS_560E_069,0,191.81,0
BHWS_560E_070,0,190.3,0
BHWS_560E_071,0,192.04,0
BHWS_560E_072,0,188.32,0
BHWS_560E_073,0,188.49,0
BHWS_560E_074,0,218.32,0
BHWS_560E_075,0,217.27,0
BHWS_560E_076,0,221.17,0
BHWS_560E_077,0,214.58,0
BHWS_560E_078,0,198.34,0
BHWS_589E_001,0,218,0
BHWS_589E_002,0,218,0
BHWS_589E_003,0,218,0
BHWS_589E_004,0,218,0
BHWS_589E_005,0,219,0
BHWS_589E_006,0,223,0
BHWS_589E_007,0,224,0
BHWS_589E_008,0,225,0
BHWS_589E_009,0,225,0
BHWS_589E_010,0,226,0
BHWS_589E_011,0,218,0
BHWS_589E_012,0,212,0
BHWS_589E_013,0,187,0
BHWS_589E_014,0,187,0
BHWS_589E_015,0,187,0
BHWS_589E_016,0,187,0
BHWS_589E_017,0,209,0
BHWS_589E_018,0,204,0
BHWS_589E_019,0,194,0
BHWS_589E_020,0,197,0
BHWS_589E_021,0,199,0
BHWS_589E_022,0,199,0
BHWS_589E_023,0,218,0
BHWS_589E_024,0,215,0
BHWS_589E_025,0,215,0
BHWS_589W_001,0,213,0
BHWS_589W_002,0,213,0
BHWS_589W_003,0,213,0
BHWS_589W_004,0,213,0
BHWS_589W_005,0,213,0
BHWS_589W_006,0,213,0
BHWS_590_50S_W001,0,210.44,0
BHWS_590_50S_W002,0,211.83,0
BHWS_590_50S_W003,0,212.15,0
BHWS_590_50S_W004,0,212.07,0
BHWS_590_50S_W005,0,214.49,0
BHWS_590_50S_W006,0,212.95,0
BHWS_590_50S_W007,0,209.75,0
BHWS_590_56S_W003,0,214.76,0
